Name;Category;Action;Block Keywords;Block File Types;Bandwidth Optimizer
Default;Abortion;Quota;false;;Do not block based on bandwidth
Default;Abused Drugs;Block;false;;Do not block based on bandwidth
Default;Adult Content;Block;false;;Do not block based on bandwidth
Default;Adult Material;Block;false;;Do not block based on bandwidth
Default;Advanced Malware Command and Control;Block;false;;Do not block based on bandwidth
Default;Advanced Malware Payloads;Block;false;;Do not block based on bandwidth
Default;Advertisements;Block;false;;Do not block based on bandwidth
Default;Advocacy Groups;Quota;false;;Do not block based on bandwidth
Default;Alcohol and Tobacco;Quota;false;;Do not block based on bandwidth
Default;Alternative Journals;Quota;false;;Do not block based on bandwidth
Default;Application and Software Download;Block;false;;Do not block based on bandwidth
Default;Bandwidth;Permit;false;;Do not block based on bandwidth
Default;Blog Commenting;Permit;false;;Do not block based on bandwidth
Default;Blog Posting;Permit;false;;Do not block based on bandwidth
Default;Blogs and Personal Sites;Quota;false;;Do not block based on bandwidth
Default;Bot Networks;Block;false;;Do not block based on bandwidth
Default;Business and Economy;Permit;false;;Do not block based on bandwidth
Default;Classifieds Posting;Permit;false;;Do not block based on bandwidth
Default;Collaboration - Office;Permit;false;;Do not block based on bandwidth
Default;Compromised Websites;Block;false;;Do not block based on bandwidth
Default;Computer Security;Permit;false;;Do not block based on bandwidth
Default;Content Delivery Networks;Permit;false;;Do not block based on bandwidth
Default;Cultural Institutions;Quota;false;;Do not block based on bandwidth
Default;Custom-Encrypted Uploads;Block;false;;Do not block based on bandwidth
Default;Drugs;Block;false;;Do not block based on bandwidth
Default;Dynamic Content;Permit;false;;Do not block based on bandwidth
Default;Dynamic DNS;Confirm;false;;Do not block based on bandwidth
Default;Education;Permit;false;;Do not block based on bandwidth
Default;Educational Institutions;Permit;false;;Do not block based on bandwidth
Default;Educational Materials;Permit;false;;Do not block based on bandwidth
Default;Educational Video;Quota;false;;Do not block based on bandwidth
Default;Elevated Exposure;Block;false;;Do not block based on bandwidth
Default;Emerging Exploits;Block;false;;Do not block based on bandwidth
Default;Entertainment;Quota;false;;Do not block based on bandwidth
Default;Entertainment Video;Quota;false;;Do not block based on bandwidth
Default;Extended Protection;Block;false;;Do not block based on bandwidth
Default;Facebook Apps;Permit;false;;Do not block based on bandwidth
