Name;Protocol;Action;Log Protocol;Bandwidth Optimizer
Default;Access Grid;Block;false;Do not block based on bandwidth
Default;Adobe Updater (WSG Only);Permit;false;Do not block based on bandwidth
Default;AOL Instant Messenger or ICQ;Block;true;Do not block based on bandwidth
Default;AOL Instant Messenger or ICQ attachments;Block;false;Do not block based on bandwidth
Default;AOL Radio;Block;true;Do not block based on bandwidth
Default;Ares;Block;true;Do not block based on bandwidth
Default;Badongo Buddy;Block;false;Do not block based on bandwidth
Default;Baidu Hi;Block;false;Do not block based on bandwidth
Default;BBC iPlayer;Block;false;Do not block based on bandwidth
Default;BeInSync;Block;false;Do not block based on bandwidth
Default;BitTorrent;Block;true;Do not block based on bandwidth
Default;Bot Networks;Block;false;Do not block based on bandwidth
Default;BoxCloud;Block;true;Do not block based on bandwidth
Default;Brosix;Block;false;Do not block based on bandwidth
Default;Camfrog;Block;true;Do not block based on bandwidth
Default;Chikka Messenger;Block;false;Do not block based on bandwidth
Default;Citrix;Block;false;Do not block based on bandwidth
Default;ClipMoon;Block;false;Do not block based on bandwidth
Default;ClubBox;Block;true;Do not block based on bandwidth
Default;Comodo EasyVPN;Block;false;Do not block based on bandwidth
Default;CrossLoop;Block;false;Do not block based on bandwidth
Default;Dailymotion;Block;false;Do not block based on bandwidth
Default;Damaka;Block;true;Do not block based on bandwidth
Default;daytime;Permit;false;Do not block based on bandwidth
Default;DirectConnect;Block;true;Do not block based on bandwidth
Default;eDonkey;Block;true;Do not block based on bandwidth
Default;Email Borne Worms;Permit;false;Do not block based on bandwidth
Default;Eyeball Chat;Block;true;Do not block based on bandwidth
Default;EZPeer;Block;true;Do not block based on bandwidth
Default;FastTrack (Kazaa iMesh);Block;true;Do not block based on bandwidth
Default;Finetune;Block;false;Do not block based on bandwidth
Default;finger;Permit;false;Do not block based on bandwidth
Default;FolderShare;Block;true;Do not block based on bandwidth
Default;FTP;Permit;true;Do not block based on bandwidth
Default;Gadu-Gadu;Block;true;Do not block based on bandwidth
Default;GhostSurf;Block;true;Do not block based on bandwidth
Default;GigaTribe;Block;true;Do not block based on bandwidth
Default;Gizmo Project;Block;true;Do not block based on bandwidth
Default;Globe7;Block;false;Do not block based on bandwidth
Default;Gmail Chat (WSG Only);Block;true;Do not block based on bandwidth
Default;Gnutella (Morpheus Xolox);Block;false;Do not block based on bandwidth
Default;Goober Messenger;Block;false;Do not block based on bandwidth
Default;Google Talk;Block;true;Do not block based on bandwidth
Default;Google Video;Block;false;Do not block based on bandwidth
Default;Google Wave (WSG Only);Block;false;Do not block based on bandwidth
Default;Google Web Accelerator;Block;true;Do not block based on bandwidth
Default;Gopher;Permit;true;Do not block based on bandwidth
Default;Hamachi;Block;true;Do not block based on bandwidth
Default;Hopster;Block;true;Do not block based on bandwidth
Default;Hotline Connect;Block;true;Do not block based on bandwidth
Default;HTTP;Permit;false;Do not block based on bandwidth
Default;HTTPS;Permit;true;Do not block based on bandwidth
Default;Hulu;Block;false;Do not block based on bandwidth
Default;ident;Permit;false;Do not block based on bandwidth
Default;IMAP;Block;false;Do not block based on bandwidth
Default;IMVU;Block;true;Do not block based on bandwidth
Default;Instant Housecall;Block;false;Do not block based on bandwidth
Default;IRC;Block;true;Do not block based on bandwidth
Default;iSpQ;Block;false;Do not block based on bandwidth
Default;iTunes;Block;false;Do not block based on bandwidth
Default;JAP;Block;true;Do not block based on bandwidth
Default;JetCast;Block;false;Do not block based on bandwidth
Default;Joost;Block;false;Do not block based on bandwidth
Default;LDAP;Permit;false;Do not block based on bandwidth
Default;Liquid Audio;Block;false;Do not block based on bandwidth
Default;Live Mesh;Block;false;Do not block based on bandwidth
Default;LogMeIn;Block;false;Do not block based on bandwidth
Default;Lotus Notes;Block;false;Do not block based on bandwidth
Default;Mail.Ru;Block;false;Do not block based on bandwidth
Default;Meetro;Block;true;Do not block based on bandwidth
Default;Metacafe;Block;false;Do not block based on bandwidth
Default;Microsoft HTTPMail;Permit;false;Do not block based on bandwidth
Default;Mikogo;Block;false;Do not block based on bandwidth
Default;MindSpring;Block;true;Do not block based on bandwidth
Default;MSC Messenger;Block;true;Do not block based on bandwidth
Default;MSN Messenger;Block;true;Do not block based on bandwidth
Default;MSN Messenger attachments;Block;false;Do not block based on bandwidth
Default;MyGreenPC;Block;false;Do not block based on bandwidth
Default;MyIVO;Block;false;Do not block based on bandwidth
Default;MyPlay;Block;false;Do not block based on bandwidth
Default;MySpaceIM;Block;true;Do not block based on bandwidth
Default;MySpace Player;Block;false;Do not block based on bandwidth
Default;NateOn;Block;true;Do not block based on bandwidth
Default;NateOn Messenger Attachments;Block;false;Do not block based on bandwidth
Default;NateOn Remote Access;Block;false;Do not block based on bandwidth
Default;Neos;Block;true;Do not block based on bandwidth
Default;Netease Popo;Block;true;Do not block based on bandwidth
Default;netFM Messenger;Block;false;Do not block based on bandwidth
Default;NetMeeting;Block;false;Do not block based on bandwidth
Default;NFS;Permit;false;Do not block based on bandwidth
Default;Nimbuzz;Block;false;Do not block based on bandwidth
Default;NNTP;Permit;false;Do not block based on bandwidth
Default;NTP;Permit;false;Do not block based on bandwidth
Default;Octoshape;Block;false;Do not block based on bandwidth
Default;Onshare;Block;true;Do not block based on bandwidth
Default;OpenWindows;Permit;false;Do not block based on bandwidth
Default;Opera Unite;Block;false;Do not block based on bandwidth
Default;Orsiso;Block;false;Do not block based on bandwidth
Default;Other;Permit;false;Do not block based on bandwidth
Default;Palringo;Block;false;Do not block based on bandwidth
Default;Paltalk;Block;true;Do not block based on bandwidth
Default;Pando;Block;true;Do not block based on bandwidth
Default;Pandora;Block;false;Do not block based on bandwidth
Default;pcANYWHERE;Block;false;Do not block based on bandwidth
Default;pcTELECOMMUTE;Block;false;Do not block based on bandwidth
Default;PeerCast;Block;false;Do not block based on bandwidth
Default;POP3;Block;false;Do not block based on bandwidth
Default;pptp;Block;false;Do not block based on bandwidth
Default;Project Neon;Block;true;Do not block based on bandwidth
Default;Qnext;Block;true;Do not block based on bandwidth
Default;Raketu;Block;true;Do not block based on bandwidth
Default;RealTunnel;Block;true;Do not block based on bandwidth
Default;Remote Control PC;Block;false;Do not block based on bandwidth
Default;Revver;Block;false;Do not block based on bandwidth
Default;RTSP (QuickTime RealPlayer);Block;false;Do not block based on bandwidth
Default;ShareNow;Block;false;Do not block based on bandwidth
Default;SHOUTcast;Block;false;Do not block based on bandwidth
Default;SIMP (Jabber);Block;true;Do not block based on bandwidth
Default;Skype;Block;true;Do not block based on bandwidth
Default;Slingbox;Block;false;Do not block based on bandwidth
Default;SMTP;Block;false;Do not block based on bandwidth
Default;Social FM;Block;false;Do not block based on bandwidth
Default;SOCKS 5;Permit;false;Do not block based on bandwidth
Default;SocksOnline;Block;true;Do not block based on bandwidth
Default;SoftEther PacketiX;Block;false;Do not block based on bandwidth
Default;Solid State Delivery Platform;Block;false;Do not block based on bandwidth
Default;SoonR;Block;false;Do not block based on bandwidth
Default;SoulSeek;Block;true;Do not block based on bandwidth
Default;Spotify;Block;false;Do not block based on bandwidth
